mofd_label,region,totfoodinsec,weighted_count,percentage
2025m03,Java,8,1573537.0234375,0.9763498233487964
2025m03,Kalimantan,0,9823202.443847656,55.33152536563788
2025m03,Kalimantan,1,4471173.788024902,25.18495035406926
2025m03,Kalimantan,2,816531.51904296875,4.599308088785789
2025m03,Kalimantan,3,493625.2783203125,2.7804618467989313
2025m03,Kalimantan,4,1233044.859375,6.945418594748376
2025m03,Kalimantan,5,766321.44140625,4.3164878781418805
2025m03,Kalimantan,6,104206.7109375,0.5869690971419622
2025m03,Kalimantan,8,45249.53515625,0.25487877467591763
2025m03,Maluku,0,2415693.2451171875,70.46586991481175
2025m03,Maluku,1,156703.419921875,4.571045113339833
2025m03,Maluku,2,144242.91796875,4.207571766102167
2025m03,Maluku,4,142855.185546875,4.167091555084453
2025m03,Maluku,5,92181.228515625,2.6889301736878672
2025m03,Maluku,6,57397.70703125,1.6742934415401458
2025m03,Maluku,7,176585.1064453125,5.15099471541758
2025m03,Maluku,8,242516.060546875,7.074203320016196
2025m03,Nusa Tenggara,0,9380919.5458984375,59.62572128175262
2025m03,Nusa Tenggara,1,2032436.244140625,12.91829403536951
2025m03,Nusa Tenggara,2,543003.1162109375,3.4513623428816707
2025m03,Nusa Tenggara,3,1193774.505859375,7.587706686041723
2025m03,Nusa Tenggara,4,75316.921875,0.47871914576666247
2025m03,Nusa Tenggara,5,811395.083984375,5.15727876039503
2025m03,Nusa Tenggara,6,1342808.74609375,8.534977795891278
2025m03,Nusa Tenggara,7,274430.5859375,1.7442982586341211
2025m03,Nusa Tenggara,8,78923.328125,0.5016416932673805
2025m03,Papua,0,3791224.8334960938,82.28907024628431
2025m03,Papua,1,327246.1123046875,7.1029230673273975
2025m03,Papua,2,18449.43359375,0.4004475607953457
2025m03,Papua,3,263029.0537109375,5.7090827445529095
2025m03,Papua,6,153479.59106445313,3.33129619190304
2025m03,Papua,7,53774.365234375,1.1671801891369924
2025m03,Sulawesi,0,15975095.94165039,77.94775312818159
2025m03,Sulawesi,1,1918214.9985351563,9.359602577582175
2025m03,Sulawesi,2,1361159.6059570313,6.641545898736584
2025m03,Sulawesi,3,788204.2333984375,3.8459079822704196
2025m03,Sulawesi,4,31647.17578125,0.154416990922071
2025m03,Sulawesi,5,183894.2041015625,0.8972803716089087
2025m03,Sulawesi,6,26337.50390625,0.12850935355852405
2025m03,Sulawesi,7,210066.515625,1.0249836971397353
2025m03,Sumatra,0,38919643.748535156,61.80071112875459
2025m03,Sumatra,1,9389911.0380859375,14.910290118246378
2025m03,Sumatra,2,1888154.453125,2.998210586869558
2025m03,Sumatra,3,6422047.0048828125,10.197602896069268
2025m03,Sumatra,4,3155906.9140625,5.011281521623811
2025m03,Sumatra,5,391541.1943359375,0.6217303632712099
2025m03,Sumatra,6,691920.1396484375,1.0987037021938324
2025m03,Sumatra,7,1180324.447265625,1.8742435227561736
2025m03,Sumatra,8,936596.21826171875,1.4872261602151746
2025m04,Java,0,108560331.68310547,67.46390261830733
2025m04,Java,1,21609921.400390625,13.429303414445174
2025m04,Java,2,15939778.505859375,9.905640929835483
2025m04,Java,3,3197215.953125,1.9868828914502212
2025m04,Java,4,2676773.77734375,1.663458490280762
2025m04,Java,5,6264350.16015625,3.8929275787900743
2025m04,Java,6,2068205.234375,1.2852687014059898
2025m04,Java,7,157655.05078125,0.09797340177844871
2025m04,Java,8,441943.359375,0.27464197370652055
2025m04,Kalimantan,0,10134249.469482422,58.386510384553084
