date,source_label,weighted_count,n_households,percentage
2025-07-01,Protected well,946071.34375,4,29.309552006459494
2025-07-01,Rainwater collection,15878.333984375,1,0.49191518035657894
2025-07-01,Surface water,181125.6875,1,5.611323916063788
2025-07-01,Tubewell/borehole,250478.3671875,2,7.759889122606234
2025-07-01,Unprotected spring,508863,2,15.764716541931511
2025-08-01,Bottled water (refill),1803555.939453125,10,48.88965099766035
2025-08-01,Cart with small tank/drum,170954.125,1,4.634116039890997
2025-08-01,Protected spring,349595.25,1,9.476606402417625
2025-08-01,Protected well,487672.6875,2,13.21952204055035
2025-08-01,Tanker-truck,21582.447265625,1,0.5850432977486468
2025-08-01,Tubewell/borehole,141620.04296875,3,3.8389463412569693
2025-08-01,Unprotected spring,27360.7421875,1,0.7416776531974062
2025-08-01,Unprotected well,686692.953125,2,18.614437227277662
2025-09-01,Bottled water (new),109262.53515625,2,4.279159435102273
2025-09-01,Bottled water (refill),318871.109375,2,12.488272529209281
2025-09-01,Other,222719.46875,1,8.722588348509614
2025-09-01,Protected spring,451971.96875,2,17.701036423075166
2025-09-01,Protected well,782772.9609375,4,30.65653104743143
2025-09-01,Rainwater collection,125152.189453125,2,4.901462075323381
2025-09-01,Surface water,163044.8125,1,6.385489287395019
2025-09-01,Tubewell/borehole,210262.078125,1,8.234706930112248
2025-09-01,Unprotected well,169307.3125,1,6.630753923841587
2025-10-01,Bottled water (refill),113900.712890625,3,5.726947015431323
2025-10-01,Piped into dwelling,406918.7109375,3,20.45994127678975
2025-10-01,Protected spring,71659.578125,1,3.6030556495649035
2025-10-01,Protected well,598907.171875,3,30.113153407420473
2025-10-01,Public tap/standpipe,308605.34375,1,15.516728626908263
2025-10-01,Rainwater collection,42978.00390625,1,2.16094127028377
2025-10-01,Surface water,86474.9375,1,4.34797441259911
2025-10-01,Tubewell/borehole,296372.546875,2,14.901661541060152
2025-10-01,Unprotected well,63038.70703125,1,3.1695967999422563
