date,source_state,dest_state,weighted_count,n_households,percentage,indicator
2024-11-01,Not_skip_meal,Not_skip_meal,251955609.97070313,1091,91.18218962853472,skip_meal
2024-11-01,skip_meal,skip_meal,24365468.736816406,125,8.817810371465283,skip_meal
2024-12-01,Not_skip_meal,Not_skip_meal,255338499.34277344,1208,92.30730325040379,skip_meal
2024-12-01,skip_meal,skip_meal,21279374.1640625,118,7.692696749596202,skip_meal
2025-01-01,Not_skip_meal,Not_skip_meal,249873239.20654297,1286,90.38192684607219,skip_meal
2025-01-01,skip_meal,skip_meal,26590483.05078125,134,9.618073153927812,skip_meal
2025-02-01,Not_skip_meal,Not_skip_meal,257622058.85302734,1205,93.11344276954942,skip_meal
2025-02-01,skip_meal,skip_meal,19053414.838378906,98,6.886557230450571,skip_meal
2025-03-01,Not_skip_meal,Not_skip_meal,259489125.59814453,1030,94.02221083800062,skip_meal
2025-03-01,skip_meal,skip_meal,16497923.935546875,78,5.977789161999383,skip_meal
2025-04-01,Not_skip_meal,Not_skip_meal,262527661.01367188,1103,94.92218438394269,skip_meal
2025-04-01,skip_meal,skip_meal,14043788.239746094,74,5.0778156160573165,skip_meal
2025-05-01,Not_skip_meal,Not_skip_meal,258133831.5258789,1075,93.3509797064971,skip_meal
2025-05-01,skip_meal,skip_meal,18385849.721679688,71,6.649020293502894,skip_meal
2025-06-01,Not_skip_meal,Not_skip_meal,264577511.91357422,1025,95.81344585372369,skip_meal
2025-06-01,skip_meal,skip_meal,11560674.701171875,63,4.186554146276313,skip_meal
2025-07-01,Not_skip_meal,Not_skip_meal,257595631.89111328,1046,93.1103043912362,skip_meal
2025-07-01,skip_meal,skip_meal,19060785.006347656,70,6.889695608763807,skip_meal
2025-08-01,Not_skip_meal,Not_skip_meal,256844922.86669922,1012,93.28645554846322,skip_meal
2025-08-01,skip_meal,skip_meal,18484353.346679688,75,6.713544451536785,skip_meal
2025-09-01,Not_skip_meal,Not_skip_meal,258164206.24267578,1035,93.32838464960038,skip_meal
2025-09-01,skip_meal,skip_meal,18454967.240234375,69,6.671615350399615,skip_meal
2025-10-01,Not_skip_meal,Not_skip_meal,255524659.7133789,987,92.4054794475479,skip_meal
2025-10-01,skip_meal,skip_meal,21000781.462890625,67,7.594520552452097,skip_meal
2024-03-01,Not_eat_less,Not_eat_less,201909939.42633057,1330,74.82639855053506,eat_less
2024-03-01,eat_less,eat_less,67927903.01635742,473,25.17360144946494,eat_less
2024-04-01,Not_eat_less,Not_eat_less,219617790.64038086,1058,79.41449755650495,eat_less
2024-04-01,eat_less,eat_less,56928428.75,315,20.585502443495038,eat_less
2024-05-01,Not_eat_less,Not_eat_less,220145654.2927246,1256,80.00409667252455,eat_less
2024-05-01,eat_less,eat_less,55022322.6595459,338,19.995903327475435,eat_less
2024-06-01,Not_eat_less,Not_eat_less,230237389.38085938,1133,83.36872064306135,eat_less
2024-06-01,eat_less,eat_less,45930203.93823242,238,16.63127935693866,eat_less
2024-07-01,Not_eat_less,Not_eat_less,229912635.9041748,1242,83.76189881288217,eat_less
2024-07-01,eat_less,eat_less,44570917.07470703,251,16.238101187117838,eat_less
2024-08-01,Not_eat_less,Not_eat_less,243852418.92871094,1147,88.45358637230139,eat_less
2024-08-01,eat_less,eat_less,31831619.3671875,165,11.546413627698621,eat_less
2024-09-01,Not_eat_less,Not_eat_less,240526154.72436523,1146,87.03558513049273,eat_less
2024-09-01,eat_less,eat_less,35827654.311035156,174,12.964414869507262,eat_less
2024-10-01,Not_eat_less,Not_eat_less,239382764.39575195,1102,87.1639665494196,eat_less
2024-10-01,eat_less,eat_less,35252241.18310547,159,12.836033450580395,eat_less
2024-11-01,Not_eat_less,Not_eat_less,241651959.43164063,1048,87.45332081141174,eat_less
2024-11-01,eat_less,eat_less,34669119.275878906,168,12.546679188588246,eat_less
2024-12-01,Not_eat_less,Not_eat_less,243234806.57666016,1167,87.93170285529261,eat_less
2024-12-01,eat_less,eat_less,33383066.93017578,159,12.06829714470739,eat_less
2025-01-01,Not_eat_less,Not_eat_less,239664476.171875,1248,86.6893038316262,eat_less
2025-01-01,eat_less,eat_less,36799246.08544922,172,13.310696168373791,eat_less
2025-02-01,Not_eat_less,Not_eat_less,243270838.4790039,1158,87.92641979908177,eat_less
2025-02-01,eat_less,eat_less,33404635.212402344,145,12.073580200918228,eat_less
2025-03-01,Not_eat_less,Not_eat_less,250443907.38867188,1001,90.74480408114174,eat_less
2025-03-01,eat_less,eat_less,25543142.14501953,107,9.25519591885826,eat_less
2025-04-01,Not_eat_less,Not_eat_less,247578568.14794922,1063,89.51703757429314,eat_less
2025-04-01,eat_less,eat_less,28992881.10546875,114,10.48296242570687,eat_less
2025-05-01,Not_eat_less,Not_eat_less,248970299.00927734,1042,90.03709894572849,eat_less
2025-05-01,eat_less,eat_less,27549382.23828125,104,9.962901054271516,eat_less
2025-06-01,Not_eat_less,Not_eat_less,252134274.56298828,993,91.30728265220093,eat_less
2025-06-01,eat_less,eat_less,24003912.051757813,95,8.692717347799075,eat_less
2025-07-01,Not_eat_less,Not_eat_less,242936595.72021484,997,87.8116612817465,eat_less
2025-07-01,eat_less,eat_less,33719821.177246094,119,12.188338718253517,eat_less
2025-08-01,Not_eat_less,Not_eat_less,250926916.91259766,994,91.13702704035384,eat_less
2025-08-01,eat_less,eat_less,24402359.30078125,93,8.862972959646157,eat_less
2025-09-01,Not_eat_less,Not_eat_less,244092295.05029297,999,88.24127842511005,eat_less
2025-09-01,eat_less,eat_less,32526878.432617188,105,11.75872157488994,eat_less
2025-10-01,Not_eat_less,Not_eat_less,245698219.54248047,958,88.85194016772641,eat_less
2025-10-01,eat_less,eat_less,30827221.633789063,96,11.1480598322736,eat_less
2024-03-01,Not_ran_out,Not_ran_out,208517305.5203247,1399,77.28830739381304,ran_out
2024-03-01,ran_out,ran_out,61274222.52783203,403,22.711692606186958,ran_out
2024-04-01,Not_ran_out,Not_ran_out,232969457.5324707,1137,84.24250313239831,ran_out
2024-04-01,ran_out,ran_out,43576761.857910156,236,15.75749686760169,ran_out
2024-05-01,Not_ran_out,Not_ran_out,234840178.41088867,1333,85.34429805820866,ran_out
2024-05-01,ran_out,ran_out,40327798.541381836,261,14.655701941791332,ran_out
2024-06-01,Not_ran_out,Not_ran_out,241498302.2541504,1178,87.44771525493044,ran_out
2024-06-01,ran_out,ran_out,34664775.935058594,192,12.552284745069558,ran_out
2024-07-01,Not_ran_out,Not_ran_out,245237661.571167,1319,89.3451206491906,ran_out
2024-07-01,ran_out,ran_out,29245891.407714844,174,10.654879350809395,ran_out
2024-08-01,Not_ran_out,Not_ran_out,250053185.42285156,1184,90.70281579177369,ran_out
2024-08-01,ran_out,ran_out,25630852.873046875,128,9.297184208226323,ran_out
2024-09-01,Not_ran_out,Not_ran_out,247007909.00439453,1186,89.38104014797686,ran_out
2024-09-01,ran_out,ran_out,29345900.03100586,134,10.618959852023139,ran_out
2024-10-01,Not_ran_out,Not_ran_out,254504243.55444336,1142,92.6699941320358,ran_out
2024-10-01,ran_out,ran_out,20130762.024414063,119,7.330005867964203,ran_out
2024-11-01,Not_ran_out,Not_ran_out,250253894.0908203,1097,90.56634233673833,ran_out
2024-11-01,ran_out,ran_out,26067184.61669922,119,9.433657663261668,ran_out
2024-12-01,Not_ran_out,Not_ran_out,252788529.14404297,1194,91.3854646987574,ran_out
2024-12-01,ran_out,ran_out,23829344.36279297,132,8.614535301242594,ran_out
2025-01-01,Not_ran_out,Not_ran_out,247583587.8100586,1288,89.5537344967146,ran_out
2025-01-01,ran_out,ran_out,28880134.447265625,132,10.446265503285401,ran_out
2025-02-01,Not_ran_out,Not_ran_out,255118401.05078125,1200,92.20853502010483,ran_out
2025-02-01,ran_out,ran_out,21557072.640625,103,7.7914649798951725,ran_out
2025-03-01,Not_ran_out,Not_ran_out,255305402.75830078,1030,92.50629809973533,ran_out
2025-03-01,ran_out,ran_out,20681646.775390625,78,7.493701900264668,ran_out
2025-04-01,Not_ran_out,Not_ran_out,259284153.16552734,1098,93.74942853481215,ran_out
2025-04-01,ran_out,ran_out,17287296.087890625,79,6.2505714651878455,ran_out
2025-05-01,Not_ran_out,Not_ran_out,254705788.64794922,1069,92.11126943977628,ran_out
2025-05-01,ran_out,ran_out,21813892.599609375,77,7.8887305602237205,ran_out
2025-06-01,Not_ran_out,Not_ran_out,262664980.90283203,1033,95.12084660325839,ran_out
2025-06-01,ran_out,ran_out,13473205.711914063,55,4.879153396741607,ran_out
2025-07-01,Not_ran_out,Not_ran_out,256869510.9033203,1054,92.8478412985901,ran_out
2025-07-01,ran_out,ran_out,19786905.994140625,62,7.152158701409908,ran_out
2025-08-01,Not_ran_out,Not_ran_out,259765425.49023438,1027,94.34718641722553,ran_out
2025-08-01,ran_out,ran_out,15563850.723144531,60,5.652813582774474,ran_out
2025-09-01,Not_ran_out,Not_ran_out,258863433.51220703,1035,93.58116078970929,ran_out
2025-09-01,ran_out,ran_out,17755739.970703125,69,6.418839210290712,ran_out
2025-10-01,Not_ran_out,Not_ran_out,251878132.265625,982,91.08678434584496,ran_out
2025-10-01,ran_out,ran_out,24647308.91064453,72,8.913215654155037,ran_out
2024-03-01,Not_went_hungry,Not_went_hungry,227978440.70855713,1553,84.50170483776787,went_hungry
2024-03-01,went_hungry,went_hungry,41813087.33959961,249,15.498295162232129,went_hungry
2024-04-01,Not_went_hungry,Not_went_hungry,249288061.0036621,1210,90.14336249224209,went_hungry
2024-04-01,went_hungry,went_hungry,27258158.38671875,163,9.856637507757906,went_hungry
2024-05-01,Not_went_hungry,Not_went_hungry,250945031.8824463,1435,91.19703341278486,went_hungry
2024-05-01,went_hungry,went_hungry,24222945.06982422,159,8.802966587215137,went_hungry
2024-06-01,Not_went_hungry,Not_went_hungry,254630651.21655273,1250,92.25179695214356,went_hungry
2024-06-01,went_hungry,went_hungry,21386358.34765625,119,7.748203047856443,went_hungry
2024-07-01,Not_went_hungry,Not_went_hungry,255526252.1776123,1360,93.09346567561806,went_hungry
2024-07-01,went_hungry,went_hungry,18957300.80126953,133,6.906534324381928,went_hungry
2024-08-01,Not_went_hungry,Not_went_hungry,259992052.0576172,1228,94.3079815809145,went_hungry
2024-08-01,went_hungry,went_hungry,15691986.23828125,84,5.692018419085495,went_hungry
2024-09-01,Not_went_hungry,Not_went_hungry,260288991.55395508,1232,94.18686591021894,went_hungry
2024-09-01,went_hungry,went_hungry,16064817.481445313,88,5.813134089781061,went_hungry
2024-10-01,Not_went_hungry,Not_went_hungry,260700791.40795898,1184,94.92627892007836,went_hungry
2024-10-01,went_hungry,went_hungry,13934214.170898438,77,5.073721079921632,went_hungry
2024-11-01,Not_went_hungry,Not_went_hungry,262305665.49023438,1142,94.92785230759749,went_hungry
2024-11-01,went_hungry,went_hungry,14015413.217285156,74,5.0721476924025035,went_hungry
2024-12-01,Not_went_hungry,Not_went_hungry,261940845.66210938,1249,94.69411442628133,went_hungry
2024-12-01,went_hungry,went_hungry,14677027.844726563,77,5.305885573718668,went_hungry
2025-01-01,Not_went_hungry,Not_went_hungry,255822333.4975586,1331,92.53378034874564,went_hungry
2025-01-01,went_hungry,went_hungry,20641388.759765625,89,7.466219651254363,went_hungry
2025-02-01,Not_went_hungry,Not_went_hungry,262404109.79785156,1233,94.84183989887283,went_hungry
2025-02-01,went_hungry,went_hungry,14271363.893554688,70,5.15816010112716,went_hungry
2025-03-01,Not_went_hungry,Not_went_hungry,265024164.15673828,1056,96.02775369515489,went_hungry
2025-03-01,went_hungry,went_hungry,10962885.376953125,52,3.9722463048451186,went_hungry
2025-04-01,Not_went_hungry,Not_went_hungry,268624822.12841797,1123,97.12673627503806,went_hungry
2025-04-01,went_hungry,went_hungry,7946627.125,54,2.8732637249619475,went_hungry
2025-05-01,Not_went_hungry,Not_went_hungry,265335860.43896484,1103,95.9555064007971,went_hungry
2025-05-01,went_hungry,went_hungry,11183820.80859375,43,4.044493599202894,went_hungry
2025-06-01,Not_went_hungry,Not_went_hungry,266192952.51123047,1050,96.3984575167104,went_hungry
2025-06-01,went_hungry,went_hungry,9945234.103515625,38,3.6015424832896104,went_hungry
2025-07-01,Not_went_hungry,Not_went_hungry,266192675.10205078,1073,96.2177845311687,went_hungry
2025-07-01,went_hungry,went_hungry,10463741.795410156,43,3.7822154688312923,went_hungry
2025-08-01,Not_went_hungry,Not_went_hungry,266731394.97509766,1050,96.87723682837928,went_hungry
2025-08-01,went_hungry,went_hungry,8597881.23828125,37,3.122763171620708,went_hungry
2025-09-01,Not_went_hungry,Not_went_hungry,266230869.81884766,1060,96.24454677770039,went_hungry
2025-09-01,went_hungry,went_hungry,10388303.6640625,44,3.755453222299611,went_hungry
2025-10-01,Not_went_hungry,Not_went_hungry,265853866.44384766,1018,96.14083438868131,went_hungry
2025-10-01,went_hungry,went_hungry,10671574.732421875,36,3.859165611318686,went_hungry
2024-03-01,Not_whole_day,Not_whole_day,256826610.13409424,1719,95.19446811104153,whole_day
2024-03-01,whole_day,whole_day,12964917.9140625,83,4.805531888958468,whole_day
2024-04-01,Not_whole_day,Not_whole_day,268055603.66088867,1314,96.92976611713988,whole_day
2024-04-01,whole_day,whole_day,8490615.7294921875,59,3.070233882860131,whole_day
2024-05-01,Not_whole_day,Not_whole_day,267767491.09655762,1539,97.3105570140538,whole_day
2024-05-01,whole_day,whole_day,7400485.855712891,55,2.689442985946198,whole_day
2024-06-01,Not_whole_day,Not_whole_day,267203629.63208008,1324,96.80694318584062,whole_day
2024-06-01,whole_day,whole_day,8813379.932128906,45,3.1930568141593745,whole_day
2024-07-01,Not_whole_day,Not_whole_day,268088254.24450684,1442,97.67006122408105,whole_day
2024-07-01,whole_day,whole_day,6395298.734375,51,2.3299387759189494,whole_day
2024-08-01,Not_whole_day,Not_whole_day,270812699.04589844,1280,98.23299916813774,whole_day
2024-08-01,whole_day,whole_day,4871339.25,32,1.7670008318622612,whole_day
